"category_name","price_range","total_amount","total_number_orders","total_goods_sold"
"Beverages","$20 - $50",25079,28,580
"Beverages","Below $20",111464,317,8329
"Beverages","Over $50",149984,24,623
"Condiments","$20 - $50",85073,121,3217
"Condiments","Below $20",28622,85,2081
"Confections","$20 - $50",96094,106,2721
"Confections","Below $20",57369,197,4872
"Confections","Over $50",23636,16,313
"Dairy Products","$20 - $50",157148,204,5501
"Dairy Products","Below $20",17886,81,2152
"Dairy Products","Over $50",76296,54,1496
"Grains/Cereals","$20 - $50",75363,91,2351
"Grains/Cereals","Below $20",25364,99,2211
"Meat/Poultry","$20 - $50",76504,96,2603
"Meat/Poultry","Below $20",5121,36,755
"Meat/Poultry","Over $50",96563,36,841
"Produce","$20 - $50",57960,81,1807
"Produce","Below $20",2566,13,297
"Produce","Over $50",44743,39,886
"Seafood","$20 - $50",39963,70,1479
"Seafood","Below $20",69673,217,5663
"Seafood","Over $50",31988,27,539
